fhour,foco,lat,lon,tipo_foco,estado,viento_kt,dir_deg,viento_comp,temp_c,rh,pr,pbl,major_m,minor_m,nivel,orografia_tipo,d_foco_humedal_m,d_target_humedal_m,d_foco_ruta_m,d_target_ruta_m,d_foco_agua_m,d_target_agua_m,score_foco_humedal,score_target_humedal,score_foco_ruta,score_target_ruta,score_foco_agua,score_target_agua,score_eco,dist_km,score_dist,score_foco,score_estado,score_transporte,score_rh,score_pr,score_temp,score_pbl,score_persist,score_orografia,eco_bonus,score_total
27,Bollenar,-33.6,-71.1,traspatio,activo,6.344326220021964,54.36347058362526,NE,22.954345703125,37.70000076293945,0.0,833.7723388671875,11780.882957821745,7496.85050883049,BAJO,VALLE,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,10.674212274874577,0.65,0.6,1.0,0.30000000000000004,0.45,1.0,0.8,0.75,0.755,0.7628371059894561,0.0,0.5315348110008239
27,Talagante,-33.66,-70.93,industrial,activo,6.531328515185494,97.32459054809436,E,22.854339599609375,36.099998474121094,0.0,787.7723388671875,11966.015230033641,7538.211234284734,MEDIO,INTERMEDIO,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,12.39543007434001,0.65,1.0,1.0,0.21000000000000002,0.45,1.0,0.8,0.75,0.755,0.49669439271092414,0.0,0.5559227073035241
30,Bollenar,-33.6,-71.1,traspatio,activo,4.301061918004511,87.87099015004839,E,12.82464599609375,75.5999984741211,0.0,58.80849838256836,10519.179225684751,6206.315743154004,MEDIO,VALLE,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,10.674212274874577,0.65,0.6,1.0,0.35000000000000003,1.0,1.0,1.0,1.0,1.0,0.7628371059894561,0.0,0.573624811000824
30,Talagante,-33.66,-70.93,industrial,activo,4.313675137679327,82.69416631762391,E,12.3846435546875,76.19999694824219,0.0,32.00849914550781,10561.951846506456,6231.55158943881,MEDIO,INTERMEDIO,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,12.39543007434001,0.65,1.0,1.0,0.11000000000000001,1.0,1.0,1.0,1.0,1.0,0.49669439271092414,0.0,0.5731727073035241
33,Bollenar,-33.6,-71.1,traspatio,activo,2.1886402434826184,82.09939371419188,E,11.050018310546875,83.9000015258789,0.0,36.540035247802734,8582.930983545693,5063.92928029196,MEDIO,VALLE,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,10.674212274874577,0.65,0.6,1.0,0.35000000000000003,1.0,1.0,1.0,1.0,1.0,0.7628371059894561,0.0,0.573624811000824
33,Talagante,-33.66,-70.93,industrial,activo,2.0996201668873216,63.3333641362899,NE,10.649993896484375,84.0999984741211,0.0,11.420036315917969,8491.848095206959,5010.190376172106,MEDIO,INTERMEDIO,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,12.39543007434001,0.65,1.0,1.0,0.11000000000000001,1.0,1.0,1.0,1.0,1.0,0.49669439271092414,0.0,0.5731727073035241
36,Bollenar,-33.6,-71.1,traspatio,activo,0.7275229755622447,113.90499811851862,SE,9.96044921875,88.9000015258789,0.0,26.663190841674805,7119.0735925324025,4200.253419594118,MEDIO,VALLE,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,10.674212274874577,0.65,0.6,1.0,0.53,1.0,1.0,1.0,1.0,1.0,0.7628371059894561,0.0,0.603432811000824
36,Talagante,-33.66,-70.93,industrial,activo,0.19861973416227907,90.93232445695736,E,9.96044921875,87.19999694824219,0.0,10.343191146850586,6471.375610904536,3818.111610433677,MEDIO,INTERMEDIO,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,12.39543007434001,0.65,1.0,1.0,0.11000000000000001,1.0,1.0,1.0,1.0,1.0,0.49669439271092414,0.0,0.5731727073035241
39,Bollenar,-33.6,-71.1,traspatio,activo,0.5543189987719978,248.85225746979108,W,9.838958740234375,87.4000015258789,0.0,17.107097625732422,6877.458140736221,4057.7003030343712,BAJO,VALLE,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,10.674212274874577,0.65,0.6,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.7628371059894561,0.0,0.548784811000824
39,Talagante,-33.66,-70.93,industrial,activo,1.077198463461432,317.27848455024014,NW,9.838958740234375,86.0999984741211,0.0,10.387097358703613,7423.34508421586,4379.773599687358,MEDIO,INTERMEDIO,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,12.39543007434001,0.65,1.0,1.0,0.35000000000000003,1.0,1.0,1.0,1.0,1.0,0.49669439271092414,0.0,0.6129167073035241
42,Bollenar,-33.6,-71.1,traspatio,activo,0.7859206140440618,341.89349322470383,N,12.038543701171875,76.4000015258789,0.0,46.106689453125,6792.862491249526,4007.788869837221,BAJO,VALLE,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,10.674212274874577,0.65,0.6,1.0,0.11000000000000001,1.0,1.0,1.0,1.0,1.0,0.7628371059894561,0.0,0.533880811000824
42,Talagante,-33.66,-70.93,industrial,activo,0.9080688537152077,17.998423626710633,N,12.038543701171875,73.80000305175781,0.0,36.58668899536133,6840.518446216153,4035.905883267531,MEDIO,INTERMEDIO,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,12.39543007434001,0.65,1.0,1.0,0.11000000000000001,1.0,1.0,1.0,1.0,1.0,0.49669439271092414,0.0,0.5731727073035241
45,Bollenar,-33.6,-71.1,traspatio,activo,2.3101626210052553,14.962396204063339,N,19.556488037109375,47.79999923706055,0.0,490.7908630371094,7787.060994795203,4594.3659869291705,BAJO,VALLE,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,10.674212274874577,0.65,0.6,1.0,0.11000000000000001,0.45,1.0,1.0,1.0,0.835,0.7628371059894561,0.0,0.5111108110008239
45,Talagante,-33.66,-70.93,industrial,activo,4.2830186077495584,117.92393887774551,SE,19.95648193359375,44.099998474121094,0.0,537.8308715820312,9740.188421672063,5797.888921198332,MEDIO,INTERMEDIO,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,12.39543007434001,0.65,1.0,1.0,0.11000000000000001,0.45,1.0,1.0,1.0,0.835,0.49669439271092414,0.0,0.550402707303524
48,Bollenar,-33.6,-71.1,traspatio,activo,6.693443847728342,58.11181825337678,NE,22.859100341796875,37.29999923706055,0.0,898.20556640625,12126.509409251059,7825.313266436117,BAJO,VALLE,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,10.674212274874577,0.65,0.6,1.0,0.30000000000000004,0.45,1.0,0.8,0.75,0.755,0.7628371059894561,0.0,0.5315348110008239
48,Talagante,-33.66,-70.93,industrial,activo,7.515477572366939,102.56300429246141,E,23.759124755859375,32.900001525878906,0.0,951.1655883789062,12940.322796643271,8445.655498402939,MEDIO,INTERMEDIO,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,12.39543007434001,0.65,1.0,1.0,0.21000000000000002,0.45,1.0,0.8,0.75,0.755,0.49669439271092414,0.0,0.5559227073035241
51,Bollenar,-33.6,-71.1,traspatio,activo,5.745657913352588,65.171194352018,NE,22.291229248046875,33.900001525878906,0.0,765.2024536132812,11188.201334219064,7013.14134904401,BAJO,VALLE,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,10.674212274874577,0.65,0.6,1.0,0.30000000000000004,0.45,1.0,0.8,0.75,0.755,0.7628371059894561,0.0,0.5315348110008239
51,Talagante,-33.66,-70.93,industrial,activo,6.032561042605649,96.63947399466917,E,22.991241455078125,32.099998474121094,0.0,848.9624633789062,11472.235432179596,7324.643840663208,MEDIO,INTERMEDIO,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,12.39543007434001,0.65,1.0,1.0,0.21000000000000002,0.45,1.0,0.8,0.75,0.755,0.49669439271092414,0.0,0.5559227073035241
